County,DateDT,Positive,Negative,x,y
Del Norte,2024-11-23,1,0,-123.95765323379,41.744717238893
Del Norte,2024-11-30,0,1,-123.95765323379,41.744717238893
Del Norte,2024-12-07,1,0,-123.95765323379,41.744717238893
Del Norte,2024-12-14,1,0,-123.95765323379,41.744717238893
Del Norte,2025-01-18,0,1,-123.95765323379,41.744717238893
Del Norte,2025-01-25,1,0,-123.95765323379,41.744717238893
Del Norte,2025-02-01,1,0,-123.95765323379,41.744717238893
Del Norte,2025-02-08,0,1,-123.95765323379,41.744717238893
Del Norte,2025-02-15,0,1,-123.95765323379,41.744717238893
Del Norte,2025-02-22,0,1,-123.95765323379,41.744717238893
Del Norte,2025-03-01,0,1,-123.95765323379,41.744717238893
Del Norte,2025-03-08,0,1,-123.95765323379,41.744717238893
Del Norte,2025-03-15,0,1,-123.95765323379,41.744717238893
Del Norte,2025-03-22,0,1,-123.95765323379,41.744717238893
Del Norte,2025-03-29,0,1,-123.95765323379,41.744717238893
Del Norte,2025-04-05,0,1,-123.95765323379,41.744717238893
Del Norte,2025-04-12,0,1,-123.95765323379,41.744717238893
Del Norte,2025-04-19,0,1,-123.95765323379,41.744717238893
Del Norte,2025-04-26,0,1,-123.95765323379,41.744717238893
Del Norte,2025-05-03,0,1,-123.95765323379,41.744717238893
Del Norte,2025-05-10,0,1,-123.95765323379,41.744717238893
Del Norte,2025-05-17,0,1,-123.95765323379,41.744717238893
Del Norte,2025-05-24,0,1,-123.95765323379,41.744717238893
Del Norte,2025-05-31,0,1,-123.95765323379,41.744717238893
Del Norte,2025-06-07,0,1,-123.95765323379,41.744717238893
Del Norte,2025-06-14,0,1,-123.95765323379,41.744717238893
Del Norte,2025-06-21,0,1,-123.95765323379,41.744717238893
El Dorado,2024-10-12,0,1,-120.525048896023,38.7789190990004
El Dorado,2024-10-26,0,1,-120.525048896023,38.7789190990004
El Dorado,2024-11-02,0,1,-120.525048896023,38.7789190990004
El Dorado,2024-11-09,0,1,-120.525048896023,38.7789190990004
El Dorado,2024-11-16,1,0,-120.525048896023,38.7789190990004
El Dorado,2024-11-23,1,0,-120.525048896023,38.7789190990004
El Dorado,2024-11-30,1,0,-120.525048896023,38.7789190990004
El Dorado,2024-12-07,0,1,-120.525048896023,38.7789190990004
El Dorado,2024-12-14,1,0,-120.525048896023,38.7789190990004
El Dorado,2024-12-21,0,1,-120.525048896023,38.7789190990004
El Dorado,2024-12-28,1,0,-120.525048896023,38.7789190990004
El Dorado,2025-01-04,1,0,-120.525048896023,38.7789190990004
El Dorado,2025-01-11,1,0,-120.525048896023,38.7789190990004
El Dorado,2025-01-18,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-01-25,1,0,-120.525048896023,38.7789190990004
El Dorado,2025-02-01,1,0,-120.525048896023,38.7789190990004
El Dorado,2025-02-08,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-02-15,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-02-22,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-03-08,1,0,-120.525048896023,38.7789190990004
El Dorado,2025-03-15,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-03-22,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-03-29,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-04-05,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-04-12,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-04-19,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-04-26,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-05-03,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-05-17,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-05-24,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-05-31,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-06-07,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-06-14,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-06-21,0,1,-120.525048896023,38.7789190990004
El Dorado,2025-06-28,0,1,-120.525048896023,38.7789190990004
Fresno,2025-01-11,1,0,-119.653416040772,36.7584866142092
Fresno,2025-01-18,1,0,-119.653416040772,36.7584866142092
Fresno,2025-01-25,1,0,-119.653416040772,36.7584866142092
Fresno,2025-02-01,0,1,-119.653416040772,36.7584866142092
Fresno,2025-02-08,0,1,-119.653416040772,36.7584866142092
Fresno,2025-02-15,0,1,-119.653416040772,36.7584866142092
Humboldt,2024-11-23,1,0,-123.916322334237,40.7028154096958
Humboldt,2024-11-30,1,0,-123.916322334237,40.7028154096958
Humboldt,2024-12-07,1,0,-123.916322334237,40.7028154096958
Humboldt,2024-12-14,1,0,-123.916322334237,40.7028154096958
Humboldt,2025-01-25,1,0,-123.916322334237,40.7028154096958
Humboldt,2025-02-01,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-02-08,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-02-15,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-02-22,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-03-08,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-03-15,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-03-22,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-03-29,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-04-05,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-04-12,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-04-19,0,1,-123.916322334237,40.7028154096958
Humboldt,2025-04-26,0,1,-123.916322334237,40.7028154096958
